angle (deg),case,psnr_bc,psnr_sr_1,psnr_sr_2,psnr_sr_3,scale,shape,slide,ssim_bc,ssim_sr_1,ssim_sr_2,ssim_sr_3,weight
0.0,case01015,16.249557936877125,12.939893113208347,15.827644361160525,12.470088423477307,2.0,"(256, 256)",0.0,0.43681856571210914,0.06191692040563772,0.13542809129971,0.0591349462083493,t1
0.0,case01015,14.675915748586837,23.781571302368395,24.226408091816833,23.95651678887677,4.0,"(256, 256)",0.0,0.09498530655836054,0.4204164962770151,0.5042389854985138,0.48847153583569614,t1
18.0,case01015,16.249557936877125,13.784840301509323,13.51121241288361,15.32520554963307,2.0,"(256, 256)",0.0,0.43681856571210914,0.16227198094606596,0.16022336622549413,0.23832349071681866,t1
18.0,case01015,14.675915748586837,14.739969299947537,15.080765877871924,14.498614923498547,4.0,"(256, 256)",0.0,0.09498530655836054,0.20866316736952087,0.22478616680240263,0.2011426620676568,t1
36.0,case01015,16.249557936877125,14.098631247595225,14.294907467870843,15.624607262148064,2.0,"(256, 256)",0.0,0.43681856571210914,0.21784844983602625,0.22531521457197698,0.3124659114869353,t1
36.0,case01015,14.675915748586837,16.028492581730017,16.44046785637734,15.874523888985381,4.0,"(256, 256)",0.0,0.09498530655836054,0.27203368729791544,0.2899219076717169,0.26457421859191693,t1
54.0,case01015,16.249557936877125,11.757858193236794,16.027332840211532,13.624099525465159,2.0,"(256, 256)",0.0,0.43681856571210914,0.18870309323138942,0.32240250438864393,0.20724819351600882,t1
54.0,case01015,14.675915748586837,15.002989070529946,15.378087674657564,14.87945469629264,4.0,"(256, 256)",0.0,0.09498530655836054,0.2547098725581702,0.2694512000644846,0.24857073809079472,t1
72.0,case01015,16.249557936877125,12.48799983871729,12.213870384264798,13.485251406941552,2.0,"(256, 256)",0.0,0.43681856571210914,0.14456921141725604,0.14215689442614549,0.1574245997415094,t1
72.0,case01015,14.675915748586837,15.651621416101854,16.03863678385801,15.353350667024133,4.0,"(256, 256)",0.0,0.09498530655836054,0.22216543119420848,0.23940301185640764,0.2119627933859537,t1
90.0,case01015,16.249557936877125,13.675187415418327,16.05079876534081,16.312227892951704,2.0,"(256, 256)",0.0,0.43681856571210914,0.06718855930678778,0.17965505401594484,0.20322295632538578,t1
90.0,case01015,14.675915748586837,24.25281792706607,23.53674081017814,24.042609857245285,4.0,"(256, 256)",0.0,0.09498530655836054,0.44436220893195516,0.3337505088025491,0.41287650193861486,t1
108.0,case01015,16.249557936877125,12.792055457977703,15.47911393672335,12.812416795178054,2.0,"(256, 256)",0.0,0.43681856571210914,0.14649136026032,0.2613619443462752,0.14731256022127293,t1
108.0,case01015,14.675915748586837,14.863809251665154,15.176705475438702,14.662236229806378,4.0,"(256, 256)",0.0,0.09498530655836054,0.20812884961853523,0.22397779920790525,0.20080243761921313,t1
126.0,case01015,16.249557936877125,10.756617175225694,14.034702719034193,15.309704581101386,2.0,"(256, 256)",0.0,0.43681856571210914,0.17904073453035363,0.21378806515809207,0.2734473226419677,t1
126.0,case01015,14.675915748586837,16.270466196567185,16.702218864513465,16.052846798166797,4.0,"(256, 256)",0.0,0.09498530655836054,0.27395330743330976,0.2932912623200909,0.26461254946631574,t1
144.0,case01015,16.249557936877125,14.106132856548781,15.879454083393101,16.092857669895196,2.0,"(256, 256)",0.0,0.43681856571210914,0.21094513503941137,0.29191180101745645,0.3199727513292537,t1
144.0,case01015,14.675915748586837,15.459228380799978,15.714675661152413,15.093794680261187,4.0,"(256, 256)",0.0,0.09498530655836054,0.25987430685265955,0.27364649644276146,0.24919471869429433,t1
162.0,case01015,16.249557936877125,12.634456371172567,14.859169461728424,15.004444860438415,2.0,"(256, 256)",0.0,0.43681856571210914,0.14398889274769172,0.1882377046032214,0.1949037612634016,t1
162.0,case01015,14.675915748586837,16.707130905609816,16.98153684246276,16.45370730454466,4.0,"(256, 256)",0.0,0.09498530655836054,0.24036323310233224,0.2583477335921366,0.22920219196595998,t1
180.0,case01015,16.249557936877125,15.593173841943903,15.347620476971569,15.646444333357309,2.0,"(256, 256)",0.0,0.43681856571210914,0.13401078143843564,0.12375158391671719,0.14807515861222986,t1
180.0,case01015,14.675915748586837,23.499326495362,23.694828179331694,23.462801211892096,4.0,"(256, 256)",0.0,0.09498530655836054,0.4522449865563795,0.5015068407700974,0.49115699073597496,t1
198.0,case01015,16.249557936877125,11.291578811181964,13.526672652280116,14.63032267063554,2.0,"(256, 256)",0.0,0.43681856571210914,0.13282341183179666,0.15601462060296756,0.18780763554552718,t1
198.0,case01015,14.675915748586837,14.63838842926236,14.983490348830708,14.444860593929999,4.0,"(256, 256)",0.0,0.09498530655836054,0.20415502045840508,0.2198778464098373,0.1971109804418165,t1
216.0,case01015,16.249557936877125,12.406794283086438,14.66463035274077,13.003039228436988,2.0,"(256, 256)",0.0,0.43681856571210914,0.18932681172511676,0.23172513799267938,0.19556103778992165,t1
216.0,case01015,14.675915748586837,15.851484135312964,16.170391673928666,15.567331724969023,4.0,"(256, 256)",0.0,0.09498530655836054,0.2659078172796222,0.2815066854139414,0.25583348436189135,t1
234.0,case01015,16.249557936877125,13.04950233034742,12.660099674654132,15.422162908349614,2.0,"(256, 256)",0.0,0.43681856571210914,0.1961042648264743,0.1934900697102672,0.24790184825299197,t1
234.0,case01015,14.675915748586837,15.068682922720086,15.449889684226452,14.816366695410794,4.0,"(256, 256)",0.0,0.09498530655836054,0.25298142802310963,0.2672899910787278,0.24419649104924696,t1
252.0,case01015,16.249557936877125,15.579957741664902,11.479096302440686,15.78272708379439,2.0,"(256, 256)",0.0,0.43681856571210914,0.23761101934714113,0.13661777344383422,0.27783875041189743,t1
252.0,case01015,14.675915748586837,15.957901727296102,16.337050054256014,15.731969095177423,4.0,"(256, 256)",0.0,0.09498530655836054,0.225404929173736,0.2429379665991766,0.2155455671828527,t1
270.0,case01015,16.249557936877125,14.193660875189128,13.083447939354842,13.240244108181546,2.0,"(256, 256)",0.0,0.43681856571210914,0.08338487496170159,0.06613307440049719,0.06854154831889284,t1
270.0,case01015,14.675915748586837,24.09539202487504,24.427998023349645,24.251633051210753,4.0,"(256, 256)",0.0,0.09498530655836054,0.4701107625819586,0.5270906969790521,0.5274051574993418,t1
288.0,case01015,16.249557936877125,12.739824759155162,15.395178961958564,13.671913037562003,2.0,"(256, 256)",0.0,0.43681856571210914,0.14515051127059472,0.25728735158074584,0.1601318345903572,t1
288.0,case01015,14.675915748586837,14.864083253861242,15.258760336029908,14.710132451998172,4.0,"(256, 256)",0.0,0.09498530655836054,0.2078193518849366,0.22535856490054798,0.20132853134255005,t1
